Country,Code,Income Group
Australia,AU,High income
Austria,AT,High income
Belgium,BE,High income
Canada,CA,High income
Chile,CL,High income
Colombia,CO,Upper-middle income
Czech Republic,CZ,High income
Denmark,DK,High income
Estonia,EE,High income
Finland,FI,High income
France,FR,High income
Germany,DE,High income
Greece,GR,High income
Hungary,HU,High income
Iceland,IS,High income
Ireland,IE,High income
Israel,IL,High income
Italy,IT,High income
Japan,JP,High income
Korea (South),KR,High income
Latvia,LV,High income
Lithuania,LT,High income
Luxembourg,LU,High income
Mexico,MX,Upper-middle income
Netherlands,NL,High income
New Zealand,NZ,High income
Norway,NO,High income
Poland,PL,High income
Portugal,PT,High income
Slovak Republic,SK,High income
Slovenia,SI,High income
Spain,ES,High income
Sweden,SE,High income
Switzerland,CH,High income
Turkey,TR,Upper-middle income
United Kingdom,GB,High income
United States,US,High income
